"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"atl-test-win7x86mirage";"WIN7TEST1.gw-ad.local";"192.168.253.4";"4";"6";;;"240";"";"АТЛАНТА";"К";"";"PoweredOn";""
"ltv-vm-1c-pmt-sourceCode";"vm-sourcecode.gw-ad.local";"192.168.253.5";"2";"6";;"256";;"";"Литвуд";"ЛН";"";"PoweredOn";"BylinkinyUG"
"kdbg-blockchain-api";"kdbg-bc-api";"172.19.60.1|192.168.254.72|fe80::250:56ff:feae:c9e1";"2";"2";"100";;;"";"Курорт Доброград";"АТ";"";"PoweredOn";""
"atl-firewall-forwarding-01";"ROS-KVR-FIREWALL_FORWARDING-1";"172.19.251.17|185.189.16.11|185.189.16.12|185.189.16.13|185.189.16.14|185.189.16.4|185.189.16.28|185.189.16.30|185.189.16.33|185.189.16.44|185.189.16.46|185.189.16.45|185.189.16.51|185.189.16.41|185.189.16.100|185.189.16.126|185.189.16.146|185.189.16.147|185.189.16.148|185.189.16.149|185.189.16.55|185.189.16.157|185.189.16.54|185.189.16.170|185.189.16.95|185.189.16.78|185.189.16.108|185.189.16.176";"2";"4";;;"0,125";"";"АТЛАНТА";"К";"Firewall";"PoweredOn";"SmetaninAV"
"atl-1c-app-01-all";"1c-app-gw-01.gw-ad.local";"192.168.254.153";"12";"82";"520";;;"";"АТЛАНТА";"К";"1C APP";"PoweredOn";"SmetaninAV"
"ltv-ws-02";"ltv-ws-02.gw-ad.local";"172.19.27.17|fe80::9440:7d4f:4971:7598";"2";"4";;"200";;"";"Литвуд ООО";"ЛН";"WS";"PoweredOn";""
"atl-dns-02";"ns2.askonalife.com";"185.189.16.3|fe80::250:56ff:fe9e:7966";"2";"2";;"16";;"";"АТЛАНТА";"К";"DNS";"PoweredOn";"SmetaninAV"
"atl-vpn-ipsec-02";"ROS-KVR-VPN_IPSEC-2";"172.19.230.3|185.189.16.6";"4";"4";;;"0,125";"";"АТЛАНТА";"К";"VPN";"PoweredOn";"SmetaninAV"
"atl-vpn-ipsec-01";"ROS-KVR-VPN_IPSEC-1";"172.19.230.2|185.189.16.5";"4";"4";"0,125";;;"";"АТЛАНТА";"К";"VPN";"PoweredOn";"SmetaninAV"
"atl-portdetect-01";"atl-portdetect-01";"192.168.254.75|10.0.0.1";"1";"0,5";;"1";;"";"АТЛАНТА";"К";"Switch port security";"PoweredOn";"Komarov"
"atl-srv-dc-02";"srv-dc-02.gw-ad.local";"192.168.254.146";"4";"10";;"100";;"";"Атланта";"К";"";"PoweredOn";""
"dac-ws-artyukhova";"dac-ws-artyukhova.gw-ad.local";"";"2";"4";;"200";;"";"";"";"Workstation";"PoweredOff";""
"atl-srv-powerbi-restored";"srv-power-bi.gw-ad.local";"192.168.254.28";"8";"24";"200";;;"";"";"";"";"PoweredOn";""
"vek-blockchain-api";"vek-bc-api";"172.18.0.1|fe80::42:4bff:fedd:a062|192.168.255.21|fe80::250:56ff:feae:d0ae";"2";"2";;"100";;"";"Аскона-Тех";"ЛН-ТЕХ";"Blockchain";"PoweredOn";""
"pak-blockchain-api";"pak-bc-api";"172.19.60.1|fe80::42:81ff:fe4a:bd87|192.168.255.19|fe80::250:56ff:feae:8689";"2";"2";;"100";;"";"ПЭК";"ПЭК";"Blockchain";"PoweredOn";""
